"Chronic Absenteeism, 2017-18"
"All Districts, Gender"

"District","District Code","Gender","% Chronically Absent"
"East Haddam School District","=""0410011""","Female",6.5
"East Haddam School District","=""0410011""","Male",6.8
"East Hampton School District","=""0420011""","Female",5.7
"East Hampton School District","=""0420011""","Male",6.7
"East Hartford School District","=""0430011""","Female",14.9
"East Hartford School District","=""0430011""","Male",17.7
"East Haven School District","=""0440011""","Female",13.8
"East Haven School District","=""0440011""","Male",15.8
"East Lyme School District","=""0450011""","Female",5.4
"East Lyme School District","=""0450011""","Male",5.4
"East Windsor School District","=""0470011""","Female",11.5
"East Windsor School District","=""0470011""","Male",13.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",41.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",29.7
"Eastford School District","=""0390011""","Female","*"
"Eastford School District","=""0390011""","Male","*"
"Easton School District","=""0460011""","Female",5.2
"Easton School District","=""0460011""","Male",3.4
"EdAdvance","=""2420014""","Female","*"
"EdAdvance","=""2420014""","Male","*"
"Ellington School District","=""0480011""","Female",5.5
"Ellington School District","=""0480011""","Male",7.4
"Elm City College Preparatory School District","=""2890013""","Female",6.3
"Elm City College Preparatory School District","=""2890013""","Male",7.2
"Elm City Montessori School District","=""2910013""","Female","*"
"Elm City Montessori School District","=""2910013""","Male","*"
"Enfield School District","=""0490011""","Female",11.1
"Enfield School District","=""0490011""","Male",11.5
"Essex School District","=""0500011""","Female","*"
"Essex School District","=""0500011""","Male","*"
"Explorations District","=""2720013""","Female",50.0
"Explorations District","=""2720013""","Male",22.5
"Fairfield School District","=""0510011""","Female",5.4
"Fairfield School District","=""0510011""","Male",5.2
"Farmington School District","=""0520011""","Female",4.2
"Farmington School District","=""0520011""","Male",5.6
"Franklin School District","=""0530011""","Female","*"
"Franklin School District","=""0530011""","Male","*"
"Glastonbury School District","=""0540011""","Female",3.1
"Glastonbury School District","=""0540011""","Male",3.1
"Granby School District","=""0560011""","Female",5.4
"Granby School District","=""0560011""","Male",4.5
"Great Oaks Charter School District","=""2940013""","Female",14.9
"Great Oaks Charter School District","=""2940013""","Male",21.4
"Greenwich School District","=""0570011""","Female",4.4
"Greenwich School District","=""0570011""","Male",4.7
"Griswold School District","=""0580011""","Female",14.3
"Griswold School District","=""0580011""","Male",11.9
"Groton School District","=""0590011""","Female",10.8
"Groton School District","=""0590011""","Male",12.3
"Guilford School District","=""0600011""","Female",5.4
"Guilford School District","=""0600011""","Male",4.1
"Hamden School District","=""0620011""","Female",14.3
"Hamden School District","=""0620011""","Male",15.6
"Hampton School District","=""0630011""","Female","*"
"Hampton School District","=""0630011""","Male","*"
"Hartford School District","=""0640011""","Female",24.5
"Hartford School District","=""0640011""","Male",26.1
"Hartland School District","=""0650011""","Female","*"
"Hartland School District","=""0650011""","Male","*"
"Hebron School District","=""0670011""","Female",1.9
"Hebron School District","=""0670011""","Male",3.4
"Highville Charter School District","=""2860013""","Female",8.8
"Highville Charter School District","=""2860013""","Male",12.3
"Integrated Day Charter School District","=""2640013""","Female",4.0
"Integrated Day Charter School District","=""2640013""","Male",4.8
"Interdistrict School for Arts and Comm District","=""2650013""","Female",19.1
"Interdistrict School for Arts and Comm District","=""2650013""","Male",18.2
"Jumoke Academy District","=""2610013""","Female",10.3
"Jumoke Academy District","=""2610013""","Male",9.9
"Kent School District","=""0680011""","Female","*"
"Kent School District","=""0680011""","Male","*"
"Killingly School District","=""0690011""","Female",12.3
"Killingly School District","=""0690011""","Male",15.0
"Learn","=""2450014""","Female",18.1
"Learn","=""2450014""","Male",17.2
"Lebanon School District","=""0710011""","Female",5.9
"Lebanon School District","=""0710011""","Male",7.8
"Ledyard School District","=""0720011""","Female",5.3
"Ledyard School District","=""0720011""","Male",5.0
"Lisbon School District","=""0730011""","Female",5.0
"Lisbon School District","=""0730011""","Male",5.2
"Litchfield School District","=""0740011""","Female",4.1
"Litchfield School District","=""0740011""","Male",5.0
"Madison School District","=""0760011""","Female",2.0
"Madison School District","=""0760011""","Male",2.8
"Manchester School District","=""0770011""","Female",19.4
"Manchester School District","=""0770011""","Male",18.9
"Mansfield School District","=""0780011""","Female",4.1
"Mansfield School District","=""0780011""","Male",5.1
"Marlborough School District","=""0790011""","Female","*"
"Marlborough School District","=""0790011""","Male","*"
"Meriden School District","=""0800011""","Female",14.3
"Meriden School District","=""0800011""","Male",15.9
"Middletown School District","=""0830011""","Female",9.9
"Middletown School District","=""0830011""","Male",9.5
"Milford School District","=""0840011""","Female",8.0
"Milford School District","=""0840011""","Male",7.8
"Monroe School District","=""0850011""","Female",5.6
"Monroe School District","=""0850011""","Male",4.5
"Montville School District","=""0860011""","Female",7.6
"Montville School District","=""0860011""","Male",9.3
"NOTSET","=""0000000""","Female",10.5
"NOTSET","=""0000000""","Male",11.0
"Naugatuck School District","=""0880011""","Female",12.2
"Naugatuck School District","=""0880011""","Male",13.4
"New Beginnings Inc Family Academy District","=""2800013""","Female",14.3
"New Beginnings Inc Family Academy District","=""2800013""","Male",13.1
"New Britain School District","=""0890011""","Female",20.9
"New Britain School District","=""0890011""","Male",23.5
"New Canaan School District","=""0900011""","Female",2.4
"New Canaan School District","=""0900011""","Male",2.4
"New Fairfield School District","=""0910011""","Female",3.8
"New Fairfield School District","=""0910011""","Male",4.9
"New Hartford School District","=""0920011""","Female",3.2
"New Hartford School District","=""0920011""","Male",3.2
"New Haven School District","=""0930011""","Female",19.6
"New Haven School District","=""0930011""","Male",20.2
"New London School District","=""0950011""","Female",18.2
"New London School District","=""0950011""","Male",15.7
"New Milford School District","=""0960011""","Female",6.9
"New Milford School District","=""0960011""","Male",9.1
"Newington School District","=""0940011""","Female",6.2
"Newington School District","=""0940011""","Male",6.6
"Newtown School District","=""0970011""","Female",4.5
"Newtown School District","=""0970011""","Male",3.7
"Norfolk School District","=""0980011""","Female","*"
"Norfolk School District","=""0980011""","Male","*"
"North Branford School District","=""0990011""","Female",5.6
"North Branford School District","=""0990011""","Male",5.0
"North Canaan School District","=""1000011""","Female",8.1
"North Canaan School District","=""1000011""","Male",10.9
"North Haven School District","=""1010011""","Female",5.4
"North Haven School District","=""1010011""","Male",5.7
"North Stonington School District","=""1020011""","Female",4.6
"North Stonington School District","=""1020011""","Male",8.7
"Norwalk School District","=""1030011""","Female",10.1
"Norwalk School District","=""1030011""","Male",11.2
"Norwich Free Academy District","=""9010022""","Female",16.1
"Norwich Free Academy District","=""9010022""","Male",17.6
"Norwich School District","=""1040011""","Female",12.2
"Norwich School District","=""1040011""","Male",14.5
"Odyssey Community School District","=""2630013""","Female",5.0
"Odyssey Community School District","=""2630013""","Male",6.1
"Old Saybrook School District","=""1060011""","Female",6.4
"Old Saybrook School District","=""1060011""","Male",4.8
"Orange School District","=""1070011""","Female",4.1
"Orange School District","=""1070011""","Male",3.6
"Oxford School District","=""1080011""","Female",10.2
"Oxford School District","=""1080011""","Male",10.9
"Park City Prep Charter School District","=""2830013""","Female",7.2
"Park City Prep Charter School District","=""2830013""","Male",7.7
"Path Academy District","=""2930013""","Female",100.0
"Path Academy District","=""2930013""","Male",100.0
"Plainfield School District","=""1090011""","Female",13.3
"Plainfield School District","=""1090011""","Male",15.2
"Plainville School District","=""1100011""","Female",10.6
"Plainville School District","=""1100011""","Male",8.1
"Plymouth School District","=""1110011""","Female",10.3
"Plymouth School District","=""1110011""","Male",9.6
"Pomfret School District","=""1120011""","Female",5.4
"Pomfret School District","=""1120011""","Male",3.9
"Portland School District","=""1130011""","Female",4.8
"Portland School District","=""1130011""","Male",7.0
"Preston School District","=""1140011""","Female",7.0
"Preston School District","=""1140011""","Male",7.6
"Putnam School District","=""1160011""","Female",11.8
"Putnam School District","=""1160011""","Male",14.1
"Redding School District","=""1170011""","Female",2.6
"Redding School District","=""1170011""","Male",2.8
"Regional School District 01","=""2010012""","Female",12.6
"Regional School District 01","=""2010012""","Male",11.3
"Regional School District 04","=""2040012""","Female",8.3
"Regional School District 04","=""2040012""","Male",10.6
"Regional School District 05","=""2050012""","Female",6.7
"Regional School District 05","=""2050012""","Male",4.6
"Regional School District 06","=""2060012""","Female",11.4
"Regional School District 06","=""2060012""","Male",8.3
"Regional School District 07","=""2070012""","Female",5.5
"Regional School District 07","=""2070012""","Male",5.0
"Regional School District 08","=""2080012""","Female",6.3
"Regional School District 08","=""2080012""","Male",7.9
"Regional School District 09","=""2090012""","Female",8.4
"Regional School District 09","=""2090012""","Male",9.0
"Regional School District 10","=""2100012""","Female",8.2
"Regional School District 10","=""2100012""","Male",5.8
"Regional School District 11","=""2110012""","Female",6.0
"Regional School District 11","=""2110012""","Male",11.3
"Regional School District 12","=""2120012""","Female",9.9
"Regional School District 12","=""2120012""","Male",7.5
"Regional School District 13","=""2130012""","Female",5.5
"Regional School District 13","=""2130012""","Male",5.2
"Regional School District 14","=""2140012""","Female",8.7
"Regional School District 14","=""2140012""","Male",8.5
"Regional School District 15","=""2150012""","Female",3.5
"Regional School District 15","=""2150012""","Male",4.7
"Regional School District 16","=""2160012""","Female",5.8
"Regional School District 16","=""2160012""","Male",7.5
"Regional School District 17","=""2170012""","Female",4.2
"Regional School District 17","=""2170012""","Male",3.1
"Regional School District 18","=""2180012""","Female",7.4
"Regional School District 18","=""2180012""","Male",5.5
"Regional School District 19","=""2190012""","Female",5.5
"Regional School District 19","=""2190012""","Male",6.4
"Ridgefield School District","=""1180011""","Female",6.4
"Ridgefield School District","=""1180011""","Male",6.1
"Rocky Hill School District","=""1190011""","Female",4.7
"Rocky Hill School District","=""1190011""","Male",4.5
"Salem School District","=""1210011""","Female","*"
"Salem School District","=""1210011""","Male","*"
"Salisbury School District","=""1220011""","Female",6.4
"Salisbury School District","=""1220011""","Male",8.8
"Scotland School District","=""1230011""","Female","*"
"Scotland School District","=""1230011""","Male","*"
"Seymour School District","=""1240011""","Female",9.6
"Seymour School District","=""1240011""","Male",9.5
"Sharon School District","=""1250011""","Female","*"
"Sharon School District","=""1250011""","Male","*"
"Shelton School District","=""1260011""","Female",10.3
"Shelton School District","=""1260011""","Male",10.0
"Sherman School District","=""1270011""","Female",4.2
"Sherman School District","=""1270011""","Male",7.2
"Side By Side Charter School District","=""2700013""","Female","*"
"Side By Side Charter School District","=""2700013""","Male","*"
"Simsbury School District","=""1280011""","Female",5.2
"Simsbury School District","=""1280011""","Male",5.0
"Somers School District","=""1290011""","Female",12.6
"Somers School District","=""1290011""","Male",10.5
"South Windsor School District","=""1320011""","Female",5.3
"South Windsor School District","=""1320011""","Male",5.2
"Southington School District","=""1310011""","Female",5.5
"Southington School District","=""1310011""","Male",5.6
"Sprague School District","=""1330011""","Female",8.7
"Sprague School District","=""1330011""","Male",8.1
"Stafford School District","=""1340011""","Female",8.5
"Stafford School District","=""1340011""","Male",11.8
"Stamford Academy District","=""2820013""","Female",77.4
"Stamford Academy District","=""2820013""","Male",82.7
"Stamford Charter School for Excellence District","=""2960013""","Female",12.6
"Stamford Charter School for Excellence District","=""2960013""","Male",11.9
"Stamford School District","=""1350011""","Female",10.4
"Stamford School District","=""1350011""","Male",10.9
"Sterling School District","=""1360011""","Female",9.9
"Sterling School District","=""1360011""","Male",11.2
"Stonington School District","=""1370011""","Female",6.4
"Stonington School District","=""1370011""","Male",4.9
"Stratford School District","=""1380011""","Female",13.6
"Stratford School District","=""1380011""","Male",12.1
"Suffield School District","=""1390011""","Female",8.4
"Suffield School District","=""1390011""","Male",6.6
"The Bridge Academy District","=""2690013""","Female",15.8
"The Bridge Academy District","=""2690013""","Male",12.6
"The Gilbert School District","=""9020022""","Female","*"
"The Gilbert School District","=""9020022""","Male","*"
"Thomaston School District","=""1400011""","Female",7.5
"Thomaston School District","=""1400011""","Male",9.4
"Thompson School District","=""1410011""","Female",10.4
"Thompson School District","=""1410011""","Male",10.9
"Tolland School District","=""1420011""","Female",4.6
"Tolland School District","=""1420011""","Male",4.4
"Torrington School District","=""1430011""","Female",12.4
"Torrington School District","=""1430011""","Male",14.5
"Trailblazers Academy District","=""2780013""","Female","*"
"Trailblazers Academy District","=""2780013""","Male","*"
"Trumbull School District","=""1440011""","Female",4.3
"Trumbull School District","=""1440011""","Male",4.4
"Unified School District #1","=""3360015""","Female","*"
"Unified School District #1","=""3360015""","Male","*"
"Unified School District #2","=""3470015""","Female","*"
"Unified School District #2","=""3470015""","Male","*"
"Union School District","=""1450011""","Female",0.0
"Union School District","=""1450011""","Male","*"
"Vernon School District","=""1460011""","Female",7.9
"Vernon School District","=""1460011""","Male",9.2
"Voluntown School District","=""1470011""","Female","*"
"Voluntown School District","=""1470011""","Male","*"
"Wallingford School District","=""1480011""","Female",5.9
"Wallingford School District","=""1480011""","Male",6.7
"Waterbury School District","=""1510011""","Female",16.6
"Waterbury School District","=""1510011""","Male",19.7
"Waterford School District","=""1520011""","Female",7.2
"Waterford School District","=""1520011""","Male",7.0
"Watertown School District","=""1530011""","Female",12.7
"Watertown School District","=""1530011""","Male",10.4
"West Hartford School District","=""1550011""","Female",6.2
"West Hartford School District","=""1550011""","Male",6.1
"West Haven School District","=""1560011""","Female",11.2
"West Haven School District","=""1560011""","Male",12.1
"Westbrook School District","=""1540011""","Female",7.4
"Westbrook School District","=""1540011""","Male",6.7
"Weston School District","=""1570011""","Female",4.8
"Weston School District","=""1570011""","Male",3.6
"Westport School District","=""1580011""","Female",13.7
"Westport School District","=""1580011""","Male",12.4
"Wethersfield School District","=""1590011""","Female",4.2
"Wethersfield School District","=""1590011""","Male",3.9
"Willington School District","=""1600011""","Female",3.6
"Willington School District","=""1600011""","Male",4.5
"Wilton School District","=""1610011""","Female",3.4
"Wilton School District","=""1610011""","Male",4.0
"Winchester School District","=""1620011""","Female",6.5
"Winchester School District","=""1620011""","Male",10.5
"Windham School District","=""1630011""","Female",13.6
"Windham School District","=""1630011""","Male",14.0
"Windsor Locks School District","=""1650011""","Female",12.1
"Windsor Locks School District","=""1650011""","Male",12.7
"Windsor School District","=""1640011""","Female",7.8
"Windsor School District","=""1640011""","Male",7.4
"Wolcott School District","=""1660011""","Female",3.4
"Wolcott School District","=""1660011""","Male",4.3
"Woodbridge School District","=""1670011""","Female",4.1
"Woodbridge School District","=""1670011""","Male",6.9
"Woodstock Academy District","=""9030022""","Female",7.6
"Woodstock Academy District","=""9030022""","Male",6.3
"Woodstock School District","=""1690011""","Female",3.9
"Woodstock School District","=""1690011""","Male",5.1

