"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Ansonia School District","900901220","2011-2012","Female","Chronically Absent Students","Percent","11.6"
"Ansonia School District","900901220","2011-2012","Male","Chronically Absent Students","Percent","12.8"
"Ansonia School District","900901220","2012-2013","Female","Chronically Absent Students","Percent","13.2"
"Ansonia School District","900901220","2012-2013","Male","Chronically Absent Students","Percent","15.3"
"Ansonia School District","900901220","2013-2014","Female","Chronically Absent Students","Percent","10.2"
"Ansonia School District","900901220","2013-2014","Male","Chronically Absent Students","Percent","12.2"
"Ansonia School District","900901220","2014-2015","Female","Chronically Absent Students","Percent","14.1"
"Ansonia School District","900901220","2014-2015","Male","Chronically Absent Students","Percent","18.3"
"Ansonia School District","900901220","2015-2016","Female","Chronically Absent Students","Percent","13.4"
"Ansonia School District","900901220","2015-2016","Male","Chronically Absent Students","Percent","15.5"
"Area Cooperative Educational Services","","2011-2012","Female","Chronically Absent Students","Percent","13.4"
"Area Cooperative Educational Services","","2011-2012","Male","Chronically Absent Students","Percent","22.0"
"Area Cooperative Educational Services","","2012-2013","Female","Chronically Absent Students","Percent","15.7"
"Area Cooperative Educational Services","","2012-2013","Male","Chronically Absent Students","Percent","22.2"
"Area Cooperative Educational Services","","2013-2014","Female","Chronically Absent Students","Percent","19.8"
"Area Cooperative Educational Services","","2013-2014","Male","Chronically Absent Students","Percent","23.0"
"Area Cooperative Educational Services","","2014-2015","Female","Chronically Absent Students","Percent","18.0"
"Area Cooperative Educational Services","","2014-2015","Male","Chronically Absent Students","Percent","22.4"
"Area Cooperative Educational Services","","2015-2016","Female","Chronically Absent Students","Percent","15.5"
"Area Cooperative Educational Services","","2015-2016","Male","Chronically Absent Students","Percent","20.1"
"Ashford School District","","2011-2012","Female","Chronically Absent Students","Percent","9.4"
"Ashford School District","","2011-2012","Male","Chronically Absent Students","Percent","9.6"
"Ashford School District","","2012-2013","Female","Chronically Absent Students","Percent","7.9"
"Ashford School District","","2012-2013","Male","Chronically Absent Students","Percent","6.5"
"Ashford School District","","2013-2014","Female","Chronically Absent Students","Percent","5.3"
"Ashford School District","","2013-2014","Male","Chronically Absent Students","Percent","10.2"
"Ashford School District","","2014-2015","Female","Chronically Absent Students","Percent","7.0"
"Ashford School District","","2014-2015","Male","Chronically Absent Students","Percent","6.7"
"Ashford School District","","2015-2016","Female","Chronically Absent Students","Percent","5.1"
"Ashford School District","","2015-2016","Male","Chronically Absent Students","Percent","5.2"
"Avon School District","900302060","2011-2012","Female","Chronically Absent Students","Percent","4.6"
"Avon School District","900302060","2011-2012","Male","Chronically Absent Students","Percent","4.0"
"Avon School District","900302060","2012-2013","Female","Chronically Absent Students","Percent","5.6"
"Avon School District","900302060","2012-2013","Male","Chronically Absent Students","Percent","4.4"
"Avon School District","900302060","2013-2014","Female","Chronically Absent Students","Percent","5.3"
"Avon School District","900302060","2013-2014","Male","Chronically Absent Students","Percent","4.4"
"Avon School District","900302060","2014-2015","Female","Chronically Absent Students","Percent","3.4"
"Avon School District","900302060","2014-2015","Male","Chronically Absent Students","Percent","2.6"
"Avon School District","900302060","2015-2016","Female","Chronically Absent Students","Percent","4.6"
"Avon School District","900302060","2015-2016","Male","Chronically Absent Students","Percent","4.4"
"Barkhamsted School District","","2011-2012","Female","Chronically Absent Students","Percent","5.3"
"Barkhamsted School District","","2011-2012","Male","Chronically Absent Students","Percent","-9999"
"Barkhamsted School District","","2012-2013","Female","Chronically Absent Students","Percent","5.0"
"Barkhamsted School District","","2012-2013","Male","Chronically Absent Students","Percent","3.2"
"Barkhamsted School District","","2013-2014","Female","Chronically Absent Students","Percent","4.7"
"Barkhamsted School District","","2013-2014","Male","Chronically Absent Students","Percent","-9999"
"Barkhamsted School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Barkhamsted School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Barkhamsted School District","","2015-2016","Female","Chronically Absent Students","Percent","5.3"
"Barkhamsted School District","","2015-2016","Male","Chronically Absent Students","Percent","-9999"
"Berlin School District","","2011-2012","Female","Chronically Absent Students","Percent","6.9"
"Berlin School District","","2011-2012","Male","Chronically Absent Students","Percent","4.8"
"Berlin School District","","2012-2013","Female","Chronically Absent Students","Percent","6.9"
"Berlin School District","","2012-2013","Male","Chronically Absent Students","Percent","4.7"
"Berlin School District","","2013-2014","Female","Chronically Absent Students","Percent","5.6"
"Berlin School District","","2013-2014","Male","Chronically Absent Students","Percent","4.2"
"Berlin School District","","2014-2015","Female","Chronically Absent Students","Percent","5.8"
"Berlin School District","","2014-2015","Male","Chronically Absent Students","Percent","6.1"
"Berlin School District","","2015-2016","Female","Chronically Absent Students","Percent","3.8"
"Berlin School District","","2015-2016","Male","Chronically Absent Students","Percent","3.5"
"Bethany School District","","2011-2012","Female","Chronically Absent Students","Percent","3.9"
"Bethany School District","","2011-2012","Male","Chronically Absent Students","Percent","2.5"
"Bethany School District","","2012-2013","Female","Chronically Absent Students","Percent","5.1"
"Bethany School District","","2012-2013","Male","Chronically Absent Students","Percent","6.0"
"Bethany School District","","2013-2014","Female","Chronically Absent Students","Percent","4.7"
"Bethany School District","","2013-2014","Male","Chronically Absent Students","Percent","5.1"
"Bethany School District","","2014-2015","Female","Chronically Absent Students","Percent","4.4"
"Bethany School District","","2014-2015","Male","Chronically Absent Students","Percent","5.6"
"Bethany School District","","2015-2016","Female","Chronically Absent Students","Percent","4.9"
"Bethany School District","","2015-2016","Male","Chronically Absent Students","Percent","5.4"
"Bethel School District","900104720","2011-2012","Female","Chronically Absent Students","Percent","6.7"
"Bethel School District","900104720","2011-2012","Male","Chronically Absent Students","Percent","5.6"
"Bethel School District","900104720","2012-2013","Female","Chronically Absent Students","Percent","7.5"
"Bethel School District","900104720","2012-2013","Male","Chronically Absent Students","Percent","6.2"
"Bethel School District","900104720","2013-2014","Female","Chronically Absent Students","Percent","8.2"
"Bethel School District","900104720","2013-2014","Male","Chronically Absent Students","Percent","6.4"
"Bethel School District","900104720","2014-2015","Female","Chronically Absent Students","Percent","4.1"
"Bethel School District","900104720","2014-2015","Male","Chronically Absent Students","Percent","4.9"
"Bethel School District","900104720","2015-2016","Female","Chronically Absent Students","Percent","6.3"
"Bethel School District","900104720","2015-2016","Male","Chronically Absent Students","Percent","7.6"
"Bloomfield School District","900305910","2011-2012","Female","Chronically Absent Students","Percent","7.5"
"Bloomfield School District","900305910","2011-2012","Male","Chronically Absent Students","Percent","7.6"
"Bloomfield School District","900305910","2012-2013","Female","Chronically Absent Students","Percent","7.6"
"Bloomfield School District","900305910","2012-2013","Male","Chronically Absent Students","Percent","8.2"
"Bloomfield School District","900305910","2013-2014","Female","Chronically Absent Students","Percent","7.5"
"Bloomfield School District","900305910","2013-2014","Male","Chronically Absent Students","Percent","7.8"
"Bloomfield School District","900305910","2014-2015","Female","Chronically Absent Students","Percent","8.0"
"Bloomfield School District","900305910","2014-2015","Male","Chronically Absent Students","Percent","10.0"
"Bloomfield School District","900305910","2015-2016","Female","Chronically Absent Students","Percent","7.3"
"Bloomfield School District","900305910","2015-2016","Male","Chronically Absent Students","Percent","10.4"
"Bolton School District","901306260","2011-2012","Female","Chronically Absent Students","Percent","1.8"
"Bolton School District","901306260","2011-2012","Male","Chronically Absent Students","Percent","3.5"
"Bolton School District","901306260","2012-2013","Female","Chronically Absent Students","Percent","4.1"
"Bolton School District","901306260","2012-2013","Male","Chronically Absent Students","Percent","3.4"
"Bolton School District","901306260","2013-2014","Female","Chronically Absent Students","Percent","5.6"
"Bolton School District","901306260","2013-2014","Male","Chronically Absent Students","Percent","4.8"
"Bolton School District","901306260","2014-2015","Female","Chronically Absent Students","Percent","6.0"
"Bolton School District","901306260","2014-2015","Male","Chronically Absent Students","Percent","5.2"
"Bolton School District","901306260","2015-2016","Female","Chronically Absent Students","Percent","4.7"
"Bolton School District","901306260","2015-2016","Male","Chronically Absent Students","Percent","1.8"
"Booker T Washington Academy District","","2011-2012","Female","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2011-2012","Male","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","Female","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","Male","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","Female","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","Male","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2014-2015","Female","Chronically Absent Students","Percent","38.9"
"Booker T Washington Academy District","","2014-2015","Male","Chronically Absent Students","Percent","25.0"
"Booker T Washington Academy District","","2015-2016","Female","Chronically Absent Students","Percent","23.1"
"Booker T Washington Academy District","","2015-2016","Male","Chronically Absent Students","Percent","18.0"
"Bozrah School District","","2011-2012","Female","Chronically Absent Students","Percent","6.5"
"Bozrah School District","","2011-2012","Male","Chronically Absent Students","Percent","-9999"
"Bozrah School District","","2012-2013","Female","Chronically Absent Students","Percent","5.9"
"Bozrah School District","","2012-2013","Male","Chronically Absent Students","Percent","11.1"
"Bozrah School District","","2013-2014","Female","Chronically Absent Students","Percent","7.6"
"Bozrah School District","","2013-2014","Male","Chronically Absent Students","Percent","7.0"
"Bozrah School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Bozrah School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Bozrah School District","","2015-2016","Female","Chronically Absent Students","Percent","-9999"
"Bozrah School District","","2015-2016","Male","Chronically Absent Students","Percent","8.2"
"Branford School District","900907310","2011-2012","Female","Chronically Absent Students","Percent","7.6"
"Branford School District","900907310","2011-2012","Male","Chronically Absent Students","Percent","7.2"
"Branford School District","900907310","2012-2013","Female","Chronically Absent Students","Percent","7.4"
"Branford School District","900907310","2012-2013","Male","Chronically Absent Students","Percent","8.3"
"Branford School District","900907310","2013-2014","Female","Chronically Absent Students","Percent","8.9"
"Branford School District","900907310","2013-2014","Male","Chronically Absent Students","Percent","8.6"
"Branford School District","900907310","2014-2015","Female","Chronically Absent Students","Percent","9.1"
"Branford School District","900907310","2014-2015","Male","Chronically Absent Students","Percent","9.4"
"Branford School District","900907310","2015-2016","Female","Chronically Absent Students","Percent","9.7"
"Branford School District","900907310","2015-2016","Male","Chronically Absent Students","Percent","9.2"
"Brass City Charter School District","","2011-2012","Female","Chronically Absent Students","Percent","-6666"
"Brass City Charter School District","","2011-2012","Male","Chronically Absent Students","Percent","-6666"
"Brass City Charter School District","","2012-2013","Female","Chronically Absent Students","Percent","-6666"
"Brass City Charter School District","","2012-2013","Male","Chronically Absent Students","Percent","-6666"
"Brass City Charter School District","","2013-2014","Female","Chronically Absent Students","Percent","-9999"
"Brass City Charter School District","","2013-2014","Male","Chronically Absent Students","Percent","-9999"
"Brass City Charter School District","","2014-2015","Female","Chronically Absent Students","Percent","8.8"
"Brass City Charter School District","","2014-2015","Male","Chronically Absent Students","Percent","13.0"
"Brass City Charter School District","","2015-2016","Female","Chronically Absent Students","Percent","7.8"
"Brass City Charter School District","","2015-2016","Male","Chronically Absent Students","Percent","-9999"
"Bridgeport School District","900108070","2011-2012","Female","Chronically Absent Students","Percent","18.8"
"Bridgeport School District","900108070","2011-2012","Male","Chronically Absent Students","Percent","20.4"
"Bridgeport School District","900108070","2012-2013","Female","Chronically Absent Students","Percent","24.5"
"Bridgeport School District","900108070","2012-2013","Male","Chronically Absent Students","Percent","25.7"
"Bridgeport School District","900108070","2013-2014","Female","Chronically Absent Students","Percent","21.1"
"Bridgeport School District","900108070","2013-2014","Male","Chronically Absent Students","Percent","21.3"
"Bridgeport School District","900108070","2014-2015","Female","Chronically Absent Students","Percent","18.5"
"Bridgeport School District","900108070","2014-2015","Male","Chronically Absent Students","Percent","19.5"
"Bridgeport School District","900108070","2015-2016","Female","Chronically Absent Students","Percent","17.3"
"Bridgeport School District","900108070","2015-2016","Male","Chronically Absent Students","Percent","17.4"
"Bristol School District","900308490","2011-2012","Female","Chronically Absent Students","Percent","10.3"
"Bristol School District","900308490","2011-2012","Male","Chronically Absent Students","Percent","12.5"
"Bristol School District","900308490","2012-2013","Female","Chronically Absent Students","Percent","9.6"
"Bristol School District","900308490","2012-2013","Male","Chronically Absent Students","Percent","10.6"
"Bristol School District","900308490","2013-2014","Female","Chronically Absent Students","Percent","11.7"
"Bristol School District","900308490","2013-2014","Male","Chronically Absent Students","Percent","11.9"
"Bristol School District","900308490","2014-2015","Female","Chronically Absent Students","Percent","10.5"
"Bristol School District","900308490","2014-2015","Male","Chronically Absent Students","Percent","11.0"
"Bristol School District","900308490","2015-2016","Female","Chronically Absent Students","Percent","8.6"
"Bristol School District","900308490","2015-2016","Male","Chronically Absent Students","Percent","8.8"
"Brookfield School District","900108980","2011-2012","Female","Chronically Absent Students","Percent","4.7"
"Brookfield School District","900108980","2011-2012","Male","Chronically Absent Students","Percent","5.1"
"Brookfield School District","900108980","2012-2013","Female","Chronically Absent Students","Percent","1.3"
"Brookfield School District","900108980","2012-2013","Male","Chronically Absent Students","Percent","2.6"
"Brookfield School District","900108980","2013-2014","Female","Chronically Absent Students","Percent","4.1"
"Brookfield School District","900108980","2013-2014","Male","Chronically Absent Students","Percent","4.0"
"Brookfield School District","900108980","2014-2015","Female","Chronically Absent Students","Percent","3.7"
"Brookfield School District","900108980","2014-2015","Male","Chronically Absent Students","Percent","4.1"
"Brookfield School District","900108980","2015-2016","Female","Chronically Absent Students","Percent","2.3"
"Brookfield School District","900108980","2015-2016","Male","Chronically Absent Students","Percent","2.1"
"Brooklyn School District","","2011-2012","Female","Chronically Absent Students","Percent","5.8"
"Brooklyn School District","","2011-2012","Male","Chronically Absent Students","Percent","8.1"
"Brooklyn School District","","2012-2013","Female","Chronically Absent Students","Percent","6.2"
"Brooklyn School District","","2012-2013","Male","Chronically Absent Students","Percent","7.4"
"Brooklyn School District","","2013-2014","Female","Chronically Absent Students","Percent","4.0"
"Brooklyn School District","","2013-2014","Male","Chronically Absent Students","Percent","4.4"
"Brooklyn School District","","2014-2015","Female","Chronically Absent Students","Percent","5.0"
"Brooklyn School District","","2014-2015","Male","Chronically Absent Students","Percent","6.1"
"Brooklyn School District","","2015-2016","Female","Chronically Absent Students","Percent","3.6"
"Brooklyn School District","","2015-2016","Male","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2011-2012","Female","Chronically Absent Students","Percent","13.3"
"Canaan School District","","2011-2012","Male","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2012-2013","Female","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2012-2013","Male","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2013-2014","Female","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2013-2014","Male","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2015-2016","Female","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2015-2016","Male","Chronically Absent Students","Percent","-9999"
"Canterbury School District","","2011-2012","Female","Chronically Absent Students","Percent","3.8"
"Canterbury School District","","2011-2012","Male","Chronically Absent Students","Percent","3.6"
"Canterbury School District","","2012-2013","Female","Chronically Absent Students","Percent","7.2"
"Canterbury School District","","2012-2013","Male","Chronically Absent Students","Percent","5.8"
"Canterbury School District","","2013-2014","Female","Chronically Absent Students","Percent","3.7"
"Canterbury School District","","2013-2014","Male","Chronically Absent Students","Percent","5.7"
"Canterbury School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Canterbury School District","","2014-2015","Male","Chronically Absent Students","Percent","5.8"
"Canterbury School District","","2015-2016","Female","Chronically Absent Students","Percent","-9999"
"Canterbury School District","","2015-2016","Male","Chronically Absent Students","Percent","4.6"
"Canton School District","900312270","2011-2012","Female","Chronically Absent Students","Percent","5.0"
"Canton School District","900312270","2011-2012","Male","Chronically Absent Students","Percent","4.0"
"Canton School District","900312270","2012-2013","Female","Chronically Absent Students","Percent","4.7"
"Canton School District","900312270","2012-2013","Male","Chronically Absent Students","Percent","4.7"
"Canton School District","900312270","2013-2014","Female","Chronically Absent Students","Percent","9.8"
"Canton School District","900312270","2013-2014","Male","Chronically Absent Students","Percent","8.4"
"Canton School District","900312270","2014-2015","Female","Chronically Absent Students","Percent","10.2"
"Canton School District","900312270","2014-2015","Male","Chronically Absent Students","Percent","8.3"
"Canton School District","900312270","2015-2016","Female","Chronically Absent Students","Percent","6.8"
"Canton School District","900312270","2015-2016","Male","Chronically Absent Students","Percent","4.4"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Female","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Male","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Female","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Male","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Female","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Male","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Female","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Male","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Female","Chronically Absent Students","Percent","13.6"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Male","Chronically Absent Students","Percent","13.7"
"Capitol Region Education Council","","2011-2012","Female","Chronically Absent Students","Percent","15.6"
"Capitol Region Education Council","","2011-2012","Male","Chronically Absent Students","Percent","13.2"
"Capitol Region Education Council","","2012-2013","Female","Chronically Absent Students","Percent","16.3"
"Capitol Region Education Council","","2012-2013","Male","Chronically Absent Students","Percent","12.3"
"Capitol Region Education Council","","2013-2014","Female","Chronically Absent Students","Percent","16.1"
"Capitol Region Education Council","","2013-2014","Male","Chronically Absent Students","Percent","11.3"
"Capitol Region Education Council","","2014-2015","Female","Chronically Absent Students","Percent","16.9"
"Capitol Region Education Council","","2014-2015","Male","Chronically Absent Students","Percent","13.3"
"Capitol Region Education Council","","2015-2016","Female","Chronically Absent Students","Percent","13.4"
"Capitol Region Education Council","","2015-2016","Male","Chronically Absent Students","Percent","10.0"
"Chaplin School District","","2011-2012","Female","Chronically Absent Students","Percent","8.9"
"Chaplin School District","","2011-2012","Male","Chronically Absent Students","Percent","10.3"
"Chaplin School District","","2012-2013","Female","Chronically Absent Students","Percent","-9999"
"Chaplin School District","","2012-2013","Male","Chronically Absent Students","Percent","10.7"
"Chaplin School District","","2013-2014","Female","Chronically Absent Students","Percent","8.2"
"Chaplin School District","","2013-2014","Male","Chronically Absent Students","Percent","9.0"
"Chaplin School District","","2014-2015","Female","Chronically Absent Students","Percent","17.2"
"Chaplin School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Chaplin School District","","2015-2016","Female","Chronically Absent Students","Percent","12.5"
"Chaplin School District","","2015-2016","Male","Chronically Absent Students","Percent","7.9"
"Charter School for Young Children on Asylum Hill","","2011-2012","Female","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2011-2012","Male","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2012-2013","Female","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2012-2013","Male","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2013-2014","Female","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2013-2014","Male","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2014-2015","Female","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2014-2015","Male","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2015-2016","Female","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2015-2016","Male","Chronically Absent Students","Percent","-6666"
"Cheshire School District","900914160","2011-2012","Female","Chronically Absent Students","Percent","5.1"
"Cheshire School District","900914160","2011-2012","Male","Chronically Absent Students","Percent","5.7"
"Cheshire School District","900914160","2012-2013","Female","Chronically Absent Students","Percent","4.3"
"Cheshire School District","900914160","2012-2013","Male","Chronically Absent Students","Percent","4.0"
"Cheshire School District","900914160","2013-2014","Female","Chronically Absent Students","Percent","4.6"
"Cheshire School District","900914160","2013-2014","Male","Chronically Absent Students","Percent","5.7"
"Cheshire School District","900914160","2014-2015","Female","Chronically Absent Students","Percent","4.2"
"Cheshire School District","900914160","2014-2015","Male","Chronically Absent Students","Percent","3.9"
"Cheshire School District","900914160","2015-2016","Female","Chronically Absent Students","Percent","4.4"
"Cheshire School District","900914160","2015-2016","Male","Chronically Absent Students","Percent","6.0"
"Chester School District","","2011-2012","Female","Chronically Absent Students","Percent","-9999"
"Chester School District","","2011-2012","Male","Chronically Absent Students","Percent","9.2"
"Chester School District","","2012-2013","Female","Chronically Absent Students","Percent","7.4"
"Chester School District","","2012-2013","Male","Chronically Absent Students","Percent","11.3"
"Chester School District","","2013-2014","Female","Chronically Absent Students","Percent","-9999"
"Chester School District","","2013-2014","Male","Chronically Absent Students","Percent","-9999"
"Chester School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Chester School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Chester School District","","2015-2016","Female","Chronically Absent Students","Percent","-9999"
"Chester School District","","2015-2016","Male","Chronically Absent Students","Percent","-9999"
"Clinton School District","900715350","2011-2012","Female","Chronically Absent Students","Percent","10.4"
"Clinton School District","900715350","2011-2012","Male","Chronically Absent Students","Percent","10.6"
"Clinton School District","900715350","2012-2013","Female","Chronically Absent Students","Percent","8.0"
"Clinton School District","900715350","2012-2013","Male","Chronically Absent Students","Percent","7.6"
"Clinton School District","900715350","2013-2014","Female","Chronically Absent Students","Percent","7.2"
"Clinton School District","900715350","2013-2014","Male","Chronically Absent Students","Percent","6.7"
"Clinton School District","900715350","2014-2015","Female","Chronically Absent Students","Percent","6.9"
"Clinton School District","900715350","2014-2015","Male","Chronically Absent Students","Percent","6.8"
"Clinton School District","900715350","2015-2016","Female","Chronically Absent Students","Percent","5.8"
"Clinton School District","900715350","2015-2016","Male","Chronically Absent Students","Percent","5.1"
"Colchester School District","901115910","2011-2012","Female","Chronically Absent Students","Percent","2.4"
"Colchester School District","901115910","2011-2012","Male","Chronically Absent Students","Percent","2.6"
"Colchester School District","901115910","2012-2013","Female","Chronically Absent Students","Percent","6.7"
"Colchester School District","901115910","2012-2013","Male","Chronically Absent Students","Percent","5.5"
"Colchester School District","901115910","2013-2014","Female","Chronically Absent Students","Percent","4.9"
"Colchester School District","901115910","2013-2014","Male","Chronically Absent Students","Percent","5.5"
"Colchester School District","901115910","2014-2015","Female","Chronically Absent Students","Percent","4.4"
"Colchester School District","901115910","2014-2015","Male","Chronically Absent Students","Percent","3.5"
"Colchester School District","901115910","2015-2016","Female","Chronically Absent Students","Percent","5.9"
"Colchester School District","901115910","2015-2016","Male","Chronically Absent Students","Percent","5.7"
"Colebrook School District","","2011-2012","Female","Chronically Absent Students","Percent","0.0"
"Colebrook School District","","2011-2012","Male","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2012-2013","Female","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2012-2013","Male","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2013-2014","Female","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2013-2014","Male","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2014-2015","Female","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2014-2015","Male","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2015-2016","Female","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2015-2016","Male","Chronically Absent Students","Percent","0.0"
"Columbia School District","","2011-2012","Female","Chronically Absent Students","Percent","7.9"
"Columbia School District","","2011-2012","Male","Chronically Absent Students","Percent","6.9"
"Columbia School District","","2012-2013","Female","Chronically Absent Students","Percent","5.1"
"Columbia School District","","2012-2013","Male","Chronically Absent Students","Percent","3.0"
"Columbia School District","","2013-2014","Female","Chronically Absent Students","Percent","-9999"
"Columbia School District","","2013-2014","Male","Chronically Absent Students","Percent","0.0"
"Columbia School District","","2014-2015","Female","Chronically Absent Students","Percent","6.3"
